il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
Adana,590.000 TL,Peugeot,207,1.6 VTi Allure,128.500 km,2012.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,0,0,1,12,590000,128500.0,2012.0,122.0,1587.0,12.0,10708.333333333334,3.0,13.28787951079572,537,6.2878585601617845
Kayseri,280.000 TL,Peugeot,307,1.4 HDi XR,265.000 km,2004.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,0,0,2,11,280000,265000.0,2004.0,69.0,1398.0,20.0,13250.0,6.0,12.54254845357358,537,6.2878585601617845
Ankara,280.000 TL,Peugeot,206,1.4 XT,258.000 km,2004.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,280000,258000.0,2004.0,76.0,1360.0,20.0,12900.0,0.0,12.54254845357358,537,6.2878585601617845
İzmir,250.000 TL,Peugeot,307,1.4 HDi XR,283.000 km,2004.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Bilinmiyor,30.000,1,0,10,0,2,250000,283000.0,2004.0,88.0,1500.5,20.0,14150.0,20.0,12.429220196836383,537,6.2878585601617845
Ankara,200.000 TL,Peugeot,106,XS,288.000 km,1998.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,200000,288000.0,1998.0,76.0,1360.0,26.0,11076.923076923076,0.0,12.206077645517674,537,6.2878585601617845
Tunceli,260.000 TL,Peugeot,306,1.6 Griffe,280.000 km,1998.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,2.000,0,0,13,0,0,260000,280000.0,1998.0,90.0,1587.0,26.0,10769.23076923077,26.0,12.468440756144114,537,6.2878585601617845
Malatya,379.000 TL,Peugeot,307,1.4 HDi XR,217.000 km,2005.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,11,0,0,2,0,379000,217000.0,2005.0,69.0,1398.0,19.0,11421.052631578947,6.0,12.84529412258351,537,6.2878585601617845
Konya,575.000 TL,Peugeot,301,1.6 HDi Active,189.000 km,2018.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,25.500,10,1,2,0,0,575000,189000.0,2018.0,93.0,1560.0,6.0,31500.0,5.0,13.26212705890841,537,6.2878585601617845
Kocaeli,385.500 TL,Peugeot,307,1.6 Premium,226.000 km,2003.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,385500,226000.0,2003.0,110.0,1587.0,21.0,10761.904761904761,0.0,12.86229906601588,537,6.2878585601617845
Kocaeli,350.000 TL,Peugeot,307,1.4 Comfort,255.000 km,2006.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,17.000,0,0,10,2,1,350000,255000.0,2006.0,89.0,1360.0,18.0,14166.666666666666,26.0,12.765691290604371,537,6.2878585601617845
İstanbul,450.000 TL,Peugeot,307,1.6 XR,140.000 km,2005.0,Otomatik,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,450000,140000.0,2005.0,110.0,1587.0,19.0,7368.421052631579,0.0,13.017005083966255,537,6.2878585601617845
